offense_id,occur_date,UC2_Literal,neighborhood,npu,lat,long,use_date,zip,county,total_cases,deaths
210081095,1/8/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755114,-84.38217399999999,2021-01-08,30303,Fulton,1150.0,5.0
210081456,1/8/2021,LARCENY-NON VEHICLE,Downtown,M,33.759906,-84.388253,2021-02-03,30303,Fulton,414.0,10.0
210081582,1/8/2021,LARCENY-NON VEHICLE,Downtown,M,33.756618,-84.388025,2021-01-08,30303,Fulton,1150.0,5.0
210090036,1/8/2021,AUTO THEFT,Downtown,M,33.762361,-84.38391700000001,2021-01-09,30303,Fulton,798.0,4.0
210090269,1/9/2021,AGG ASSAULT,Downtown,M,33.755587,-84.381087,2021-01-09,30303,Fulton,798.0,4.0
210090364,1/9/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755453,-84.379426,2021-01-09,30303,Fulton,798.0,4.0
210090545,1/9/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760508,-84.3846,2021-01-09,30303,Fulton,798.0,4.0
210100387,1/10/2021,ROBBERY,Downtown,M,33.756231,-84.379462,2021-01-10,30303,Fulton,863.0,0.0
210100788,1/10/2021,BURGLARY,Downtown,M,33.756039,-84.38076600000001,2021-01-10,30303,Fulton,863.0,0.0
210110879,12/31/2020,LARCENY-FROM VEHICLE,Downtown,M,33.754552000000004,-84.379134,2021-01-11,30303,Fulton,683.0,1.0
210110939,1/11/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755226,-84.381427,2021-01-11,30303,Fulton,683.0,1.0
210121021,1/10/2020,LARCENY-FROM VEHICLE,Downtown,M,33.755226,-84.381427,2021-01-12,30303,Fulton,681.0,7.0
210121104,1/12/2021,LARCENY-NON VEHICLE,Downtown,M,33.761055,-84.388959,2021-01-12,30303,Fulton,681.0,7.0
210121459,1/12/2021,AUTO THEFT,Downtown,M,33.748268,-84.39732099999999,2021-01-12,30303,Fulton,681.0,7.0
210121633,1/12/2021,LARCENY-NON VEHICLE,Downtown,M,33.755945000000004,-84.389728,2021-01-12,30303,Fulton,681.0,7.0
210121762,1/12/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755226,-84.381427,2021-01-12,30303,Fulton,681.0,7.0
210121804,1/12/2021,LARCENY-NON VEHICLE,Downtown,M,33.759435,-84.387017,2021-01-12,30303,Fulton,681.0,7.0
210121973,1/12/2021,LARCENY-FROM VEHICLE,Downtown,M,33.750627,-84.396181,2021-01-12,30303,Fulton,681.0,7.0
210130011,1/12/2021,LARCENY-FROM VEHICLE,Downtown,M,33.76308,-84.383627,2021-01-13,30303,Fulton,558.0,5.0
210131085,1/12/2021,LARCENY-FROM VEHICLE,Downtown,M,33.748692,-84.39777099999999,2021-01-13,30303,Fulton,558.0,5.0
210131321,12/14/2020,AUTO THEFT,Downtown,M,33.762673,-84.383907,2021-01-13,30303,Fulton,558.0,5.0
210131434,1/13/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760961,-84.386133,2021-01-13,30303,Fulton,558.0,5.0
210132115,1/13/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-14,30303,Fulton,802.0,12.0
210140561,1/13/2021,LARCENY-NON VEHICLE,Downtown,M,33.755888,-84.388902,2021-01-14,30303,Fulton,802.0,12.0
210141456,1/14/2021,ROBBERY,Downtown,M,33.750258,-84.395539,2021-01-14,30303,Fulton,802.0,12.0
210141606,1/14/2021,AUTO THEFT,Downtown,M,33.748591999999995,-84.395186,2021-01-14,30303,Fulton,802.0,12.0
210150154,1/15/2021,LARCENY-FROM VEHICLE,Downtown,M,33.762421999999994,-84.38307900000001,2021-01-15,30303,Fulton,781.0,20.0
210150357,1/15/2021,LARCENY-NON VEHICLE,Castleberry Hill,M,33.743483000000005,-84.403406,2021-01-15,30303,Fulton,781.0,20.0
210150989,1/14/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757803,-84.37984,2021-01-15,30303,Fulton,781.0,20.0
210151963,1/15/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-19,30303,Fulton,610.0,8.0
210152041,1/15/2021,AUTO THEFT,Downtown,M,33.754602,-84.381107,2021-01-16,30303,Fulton,826.0,4.0
210160665,1/15/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760983,-84.38755,2021-01-16,30303,Fulton,826.0,4.0
210160816,1/13/2021,LARCENY-NON VEHICLE,Downtown,M,33.76079,-84.389333,2021-01-16,30303,Fulton,826.0,4.0
210161795,1/19/2021,AGG ASSAULT,Downtown,M,33.757774,-84.394966,2021-01-19,30303,Fulton,610.0,8.0
210170238,1/17/2021,LARCENY-FROM VEHICLE,Sweet Auburn,M,33.755749,-84.376752,2021-01-17,30303,Fulton,664.0,0.0
210170836,1/16/2021,LARCENY-FROM VEHICLE,Downtown,M,33.75894,-84.389013,2021-01-17,30303,Fulton,664.0,0.0
210171702,1/17/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-17,30303,Fulton,664.0,0.0
210171784,1/17/2021,LARCENY-NON VEHICLE,Downtown,M,33.759426,-84.38837099999999,2021-01-18,30303,Fulton,562.0,2.0
210171811,1/17/2021,AUTO THEFT,Downtown,M,33.759352,-84.384417,2021-01-17,30303,Fulton,664.0,0.0
210181249,1/18/2021,ROBBERY,Downtown,M,33.753682,-84.39048000000001,2021-01-18,30303,Fulton,562.0,2.0
210181271,1/18/2021,LARCENY-NON VEHICLE,Downtown,M,33.750811,-84.396273,2021-01-18,30303,Fulton,562.0,2.0
210181673,1/18/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-18,30303,Fulton,562.0,2.0
210181817,3/22/2021,LARCENY-FROM VEHICLE,Downtown,M,33.758197,-84.392799,2021-03-22,30303,Fulton,99.0,1.0
210191334,1/19/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757313,-84.389922,2021-01-19,30303,Fulton,610.0,8.0
210191701,1/19/2021,LARCENY-FROM VEHICLE,Downtown,M,33.748268,-84.39732099999999,2021-01-19,30303,Fulton,610.0,8.0
210200102,1/20/2021,LARCENY-FROM VEHICLE,Downtown,M,33.748268,-84.39732099999999,2021-01-21,30303,Fulton,525.0,9.0
210201125,1/16/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755976000000004,-84.383146,2021-01-20,30303,Fulton,620.0,6.0
210201301,1/20/2021,LARCENY-NON VEHICLE,Downtown,M,33.753198,-84.392083,2021-01-20,30303,Fulton,620.0,6.0
210201836,1/20/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-20,30303,Fulton,620.0,6.0
210210677,4/21/2020,AUTO THEFT,Downtown,M,33.759853,-84.384376,2021-01-21,30303,Fulton,525.0,9.0
210211353,7/15/2020,AUTO THEFT,Downtown,M,33.759853,-84.384376,2021-01-22,30303,Fulton,668.0,10.0
210211511,1/21/2021,LARCENY-FROM VEHICLE,Downtown,M,33.762421999999994,-84.383932,2021-01-21,30303,Fulton,525.0,9.0
210211749,1/21/2021,ROBBERY,Downtown,M,33.749076,-84.39502,2021-01-21,30303,Fulton,525.0,9.0
210212000,1/21/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760038,-84.385984,2021-01-22,30303,Fulton,668.0,10.0
210220024,1/21/2021,AUTO THEFT,Downtown,M,33.756807,-84.38928299999999,2021-01-22,30303,Fulton,668.0,10.0
210221492,1/21/2021,LARCENY-FROM VEHICLE,Downtown,M,33.756771,-84.384272,2021-01-22,30303,Fulton,668.0,10.0
210222339,1/22/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-23,30303,Fulton,773.0,5.0
210230316,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755759999999995,-84.382747,2021-01-23,30303,Fulton,773.0,5.0
210230355,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760038,-84.385984,2021-01-23,30303,Fulton,773.0,5.0
210230421,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.756556,-84.37989300000001,2021-01-23,30303,Fulton,773.0,5.0
210231027,1/23/2021,LARCENY-NON VEHICLE,Downtown,M,33.758669,-84.390621,2021-01-23,30303,Fulton,773.0,5.0
210231405,1/23/2021,AGG ASSAULT,Castleberry Hill,M,33.743559999999995,-84.403974,2021-01-24,30303,Fulton,528.0,0.0
210232247,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.751016,-84.393416,2021-01-24,30303,Fulton,528.0,0.0
210240125,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.750573,-84.39309300000001,2021-01-24,30303,Fulton,528.0,0.0
210240300,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755759999999995,-84.382747,2021-01-24,30303,Fulton,528.0,0.0
210240409,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.749285,-84.391293,2021-01-24,30303,Fulton,528.0,0.0
210240471,1/24/2021,ROBBERY,Pittsburgh,V,33.742773,-84.407627,2021-01-24,30303,Fulton,528.0,0.0
210240551,1/23/2021,AUTO THEFT,Downtown,M,33.756922,-84.39111700000001,2021-01-24,30303,Fulton,528.0,0.0
210240578,1/7/2021,LARCENY-NON VEHICLE,Downtown,M,33.751814,-84.39405699999999,2021-01-24,30303,Fulton,528.0,0.0
210240875,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760038,-84.385984,2021-01-24,30303,Fulton,528.0,0.0
210241004,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759426,-84.38837099999999,2021-01-24,30303,Fulton,528.0,0.0
210241548,1/24/2021,LARCENY-FROM VEHICLE,Downtown,M,33.762570000000004,-84.383284,2021-01-24,30303,Fulton,528.0,0.0
210241689,1/24/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759932,-84.385797,2021-01-25,30303,Fulton,460.0,5.0
210250234,1/25/2021,AUTO THEFT,Downtown,M,33.761588,-84.38495400000001,2021-01-25,30303,Fulton,460.0,5.0
210250399,1/24/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757124,-84.386103,2021-01-25,30303,Fulton,460.0,5.0
210250664,1/22/2021,LARCENY-FROM VEHICLE,Downtown,M,33.752212,-84.388778,2021-01-25,30303,Fulton,460.0,5.0
210250902,1/21/2021,LARCENY-FROM VEHICLE,Downtown,M,33.752858,-84.3912,2021-01-25,30303,Fulton,460.0,5.0
210250929,1/16/2021,AUTO THEFT,Downtown,M,33.754166,-84.39064499999999,2021-01-25,30303,Fulton,460.0,5.0
210251005,1/25/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755456,-84.391005,2021-01-25,30303,Fulton,460.0,5.0
210251538,1/23/2021,LARCENY-FROM VEHICLE,Downtown,M,33.749969,-84.394033,2021-01-26,30303,Fulton,671.0,2.0
210251678,1/25/2021,LARCENY-FROM VEHICLE,Downtown,M,33.75976,-84.386064,2021-01-25,30303,Fulton,460.0,5.0
210251704,1/25/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757193,-84.38795999999999,2021-01-26,30303,Fulton,671.0,2.0
210270204,1/27/2021,LARCENY-NON VEHICLE,Downtown,M,33.757749,-84.382599,2021-01-27,30303,Fulton,457.0,8.0
210270419,1/27/2021,LARCENY-FROM VEHICLE,Downtown,M,33.75137,-84.390836,2021-01-27,30303,Fulton,457.0,8.0
210270630,1/27/2021,LARCENY-NON VEHICLE,Downtown,M,33.752858,-84.3912,2021-01-27,30303,Fulton,457.0,8.0
210271547,1/15/2021,LARCENY-NON VEHICLE,Downtown,M,33.759944,-84.38395600000001,2021-01-27,30303,Fulton,457.0,8.0
210280170,1/26/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757401,-84.380581,2021-01-28,30303,Fulton,678.0,10.0
210280364,1/28/2021,AGG ASSAULT,Downtown,M,33.757749,-84.382599,2021-01-28,30303,Fulton,678.0,10.0
210281238,1/28/2021,AGG ASSAULT,Downtown,M,33.752694,-84.39198,2021-01-28,30303,Fulton,678.0,10.0
210281297,1/28/2021,LARCENY-FROM VEHICLE,Downtown,M,33.754777000000004,-84.38105,2021-01-28,30303,Fulton,678.0,10.0
210281508,1/28/2021,LARCENY-NON VEHICLE,Downtown,M,33.750341,-84.392412,2021-01-28,30303,Fulton,678.0,10.0
210290193,1/29/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760069,-84.391001,2021-01-29,30303,Fulton,548.0,6.0
210292313,1/29/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755318,-84.379581,2021-01-30,30303,Fulton,522.0,11.0
210292411,1/29/2021,LARCENY-FROM VEHICLE,Downtown,M,33.762421999999994,-84.383932,2021-01-30,30303,Fulton,522.0,11.0
210300321,1/29/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755453,-84.379426,2021-01-30,30303,Fulton,522.0,11.0
210300501,1/30/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757454,-84.384874,2021-01-30,30303,Fulton,522.0,11.0
210300521,1/29/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760069,-84.391001,2021-01-30,30303,Fulton,522.0,11.0
210300647,1/30/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760565,-84.384259,2021-02-02,30303,Fulton,359.0,9.0
210300664,1/29/2021,AUTO THEFT,Downtown,M,33.760565,-84.384259,2021-01-30,30303,Fulton,522.0,11.0
210300976,1/29/2021,LARCENY-FROM VEHICLE,Downtown,M,33.758806,-84.391036,2021-01-30,30303,Fulton,522.0,11.0
210301156,1/30/2021,LARCENY-FROM VEHICLE,Downtown,M,33.753392,-84.387612,2021-01-30,30303,Fulton,522.0,11.0
210301737,1/30/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760038,-84.385984,2021-01-31,30303,Fulton,332.0,1.0
210310733,1/31/2021,LARCENY-FROM VEHICLE,Downtown,M,33.750573,-84.39309300000001,2021-01-31,30303,Fulton,332.0,1.0
210311064,1/31/2021,AUTO THEFT,Downtown,M,33.75635,-84.38914799999999,2021-02-01,30303,Fulton,279.0,1.0
210311198,1/31/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760565,-84.384259,2021-02-01,30303,Fulton,279.0,1.0
210311582,1/31/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760038,-84.385984,2021-01-31,30303,Fulton,332.0,1.0
210321930,2/1/2021,AUTO THEFT,Castleberry Hill,M,33.743483000000005,-84.403406,2021-02-02,30303,Fulton,359.0,9.0
210330176,2/2/2021,LARCENY-FROM VEHICLE,Downtown,M,33.76308,-84.383627,2021-02-02,30303,Fulton,359.0,9.0
210330507,2/1/2021,LARCENY-FROM VEHICLE,Downtown,M,33.762262,-84.383978,2021-02-02,30303,Fulton,359.0,9.0
210330553,1/29/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755755,-84.392726,2021-02-02,30303,Fulton,359.0,9.0
210330582,2/2/2021,ROBBERY,Downtown,M,33.754721,-84.391337,2021-02-02,30303,Fulton,359.0,9.0
210331175,2/1/2021,LARCENY-FROM VEHICLE,Downtown,M,33.756842,-84.38519699999999,2021-02-02,30303,Fulton,359.0,9.0
210331364,2/2/2021,LARCENY-FROM VEHICLE,Downtown,M,33.758427000000005,-84.387658,2021-02-02,30303,Fulton,359.0,9.0
210340322,2/3/2021,AGG ASSAULT,Downtown,M,33.750187,-84.390249,2021-02-03,30303,Fulton,414.0,10.0
210341785,2/3/2021,AUTO THEFT,Downtown,M,33.761507,-84.38668100000001,2021-02-03,30303,Fulton,414.0,10.0
210342131,2/3/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757453000000005,-84.392698,2021-02-04,30303,Fulton,487.0,13.0
210350361,2/3/2021,LARCENY-FROM VEHICLE,Downtown,M,33.7571,-84.382891,2021-02-04,30303,Fulton,487.0,13.0
210350696,2/3/2021,LARCENY-NON VEHICLE,Downtown,M,33.761507,-84.38668100000001,2021-02-04,30303,Fulton,487.0,13.0
210350869,2/4/2021,LARCENY-NON VEHICLE,Downtown,M,33.756039,-84.38076600000001,2021-02-04,30303,Fulton,487.0,13.0
210350890,2/4/2021,LARCENY-NON VEHICLE,Downtown,M,33.748591999999995,-84.395186,2021-02-04,30303,Fulton,487.0,13.0
210351208,2/4/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757454,-84.384874,2021-02-04,30303,Fulton,487.0,13.0
210352276,2/4/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757007,-84.391998,2021-02-05,30303,Fulton,425.0,9.0
210361030,2/5/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759426,-84.38837099999999,2021-02-06,30303,Fulton,334.0,9.0
210362277,2/5/2021,LARCENY-FROM VEHICLE,Downtown,M,33.750941,-84.394826,2021-02-06,30303,Fulton,334.0,9.0
210362311,2/5/2021,AUTO THEFT,Downtown,M,33.755638,-84.381054,2021-02-06,30303,Fulton,334.0,9.0
210370302,2/6/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760038,-84.385984,2021-02-06,30303,Fulton,334.0,9.0
210370527,2/5/2021,AUTO THEFT,Downtown,M,33.75485,-84.37995500000001,2021-02-06,30303,Fulton,334.0,9.0
210371027,2/6/2021,LARCENY-FROM VEHICLE,Downtown,M,33.758974,-84.38334,2021-02-06,30303,Fulton,334.0,9.0
210371333,2/6/2021,AGG ASSAULT,Downtown,M,33.751847,-84.38201600000001,2021-02-06,30303,Fulton,334.0,9.0
210371700,2/6/2021,AGG ASSAULT,Downtown,M,33.759364,-84.390123,2021-02-07,30303,Fulton,374.0,0.0
210380616,2/7/2021,LARCENY-FROM VEHICLE,Downtown,M,33.756059,-84.382551,2021-02-07,30303,Fulton,374.0,0.0
210380625,2/6/2021,LARCENY-FROM VEHICLE,Downtown,M,33.762361,-84.38391700000001,2021-02-07,30303,Fulton,374.0,0.0
210380677,2/7/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757697,-84.385553,2021-02-07,30303,Fulton,374.0,0.0
210380859,2/7/2021,AGG ASSAULT,Downtown,M,33.753128000000004,-84.392081,2021-02-07,30303,Fulton,374.0,0.0
210381430,2/7/2021,LARCENY-FROM VEHICLE,Downtown,M,33.758652000000005,-84.387158,2021-02-07,30303,Fulton,374.0,0.0
210390186,2/8/2021,LARCENY-FROM VEHICLE,Downtown,M,33.749443,-84.391221,2021-02-08,30303,Fulton,290.0,1.0
210390256,2/8/2021,LARCENY-FROM VEHICLE,Downtown,M,33.758792,-84.38977299999999,2021-02-13,30303,Fulton,332.0,10.0
210390845,2/8/2021,LARCENY-NON VEHICLE,Downtown,M,33.760069,-84.391001,2021-02-08,30303,Fulton,290.0,1.0
210391283,1/7/2021,AUTO THEFT,Downtown,M,33.762673,-84.383907,2021-02-08,30303,Fulton,290.0,1.0
210391341,2/8/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759769,-84.387792,2021-02-08,30303,Fulton,290.0,1.0
210411211,2/6/2021,LARCENY-NON VEHICLE,Downtown,M,33.755226,-84.381427,2021-02-10,30303,Fulton,259.0,8.0
210411985,2/10/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759997,-84.39177600000001,2021-02-10,30303,Fulton,259.0,8.0
210421334,2/11/2021,LARCENY-FROM VEHICLE,Downtown,M,33.759997,-84.39177600000001,2021-02-11,30303,Fulton,379.0,5.0
210421433,2/16/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757598,-84.389075,2021-02-16,30303,Fulton,220.0,11.0
210430034,2/11/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757453000000005,-84.392698,2021-02-12,30303,Fulton,315.0,12.0
210435965,2/12/2021,LARCENY-FROM VEHICLE,Downtown,M,33.756979,-84.39135999999999,2021-02-12,30303,Fulton,315.0,12.0
210440349,2/12/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760973,-84.386041,2021-02-13,30303,Fulton,332.0,10.0
210440918,2/12/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760888,-84.38869,2021-02-13,30303,Fulton,332.0,10.0
210450236,2/14/2021,LARCENY-FROM VEHICLE,Downtown,M,33.756689,-84.389463,2021-02-14,30303,Fulton,198.0,0.0
210450275,2/14/2021,AGG ASSAULT,Downtown,M,33.756689,-84.389463,2021-02-14,30303,Fulton,198.0,0.0
210450345,2/14/2021,LARCENY-FROM VEHICLE,Downtown,M,33.755759999999995,-84.382747,2021-02-14,30303,Fulton,198.0,0.0
210450462,2/14/2021,LARCENY-FROM VEHICLE,Downtown,M,33.7566,-84.389412,2021-02-14,30303,Fulton,198.0,0.0
210450596,2/13/2021,LARCENY-FROM VEHICLE,Downtown,M,33.762361,-84.38391700000001,2021-02-14,30303,Fulton,198.0,0.0
210450769,2/13/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760565,-84.384259,2021-02-14,30303,Fulton,198.0,0.0
210460115,2/15/2021,LARCENY-FROM VEHICLE,Downtown,M,33.754833000000005,-84.379307,2021-02-15,30303,Fulton,198.0,2.0
210460167,2/15/2021,LARCENY-FROM VEHICLE,Downtown,M,33.751847,-84.38201600000001,2021-02-15,30303,Fulton,198.0,2.0
210470109,2/16/2021,LARCENY-NON VEHICLE,Downtown,M,33.759916,-84.386475,2021-02-16,30303,Fulton,220.0,11.0
210470752,1/14/2021,AUTO THEFT,Downtown,M,33.762673,-84.383907,2021-02-16,30303,Fulton,220.0,11.0
210470784,12/17/2020,AUTO THEFT,Downtown,M,33.762673,-84.383907,2021-02-16,30303,Fulton,220.0,11.0
210470785,1/6/2021,AUTO THEFT,Downtown,M,33.762673,-84.383907,2021-02-16,30303,Fulton,220.0,11.0
210471484,2/16/2021,LARCENY-FROM VEHICLE,Downtown,M,33.760565,-84.384259,2021-02-16,30303,Fulton,220.0,11.0
210471685,2/16/2021,LARCENY-NON VEHICLE,Downtown,M,33.75521,-84.38924,2021-02-16,30303,Fulton,220.0,11.0
210481478,2/17/2021,LARCENY-FROM VEHICLE,Downtown,M,33.761895,-84.38835,2021-02-17,30303,Fulton,252.0,4.0
210482060,2/17/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757453000000005,-84.392698,2021-02-18,30303,Fulton,255.0,9.0
210482156,2/17/2021,LARCENY-FROM VEHICLE,Downtown,M,33.757487,-84.391081,2021-02-18,30303,Fulton,255.0,9.0
210491231,2/18/2021,LARCENY-NON VEHICLE,Downtown,M,33.753925,-84.379958,2021-02-18,30303,Fulton,255.0,9.0
