offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,dispo_code,Shift,loc_type,UC2_Literal,ibr_code,neighborhood,npu,long,lat
203661528,12/31/2020,12/31/2020,18:58,12/31/2020,19:10,402,NULL,NULL,1176 RALPH DAVID ABERNATHY BLVD,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,West End,T,-84.425737,33.738173
203661571,12/31/2020,12/31/2020,19:00,12/31/2020,19:17,205,NULL,NULL,784 COLLIER RD NW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Wildwood (NPU-C),C,-84.413779,33.809191
203661583,12/31/2020,12/31/2020,19:22,12/31/2020,20:45,512,NULL,NULL,227 PEACHTREE ST SW,NULL,NULL,NULL,NULL,ROBBERY,120,Downtown,M,-84.395233,33.748423
203661637,12/31/2020,12/31/2020,19:50,12/31/2020,20:00,204,NULL,NULL,1801 HOWELL MILL RD NW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23C,Berkeley Park,D,-84.412846,33.80423
203661729,12/31/2020,12/31/2020,20:26,12/31/2020,22:03,104,NULL,NULL,160 STAFFORD ST SW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Mozley Park,K,-84.428078,33.750436
203661759,12/31/2020,12/31/2020,20:38,12/31/2020,20:38,209,NULL,NULL,4475 ROSWELL RD NE,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,North Buckhead,B,-84.379462,33.877273
203661853,12/31/2020,12/31/2020,19:00,12/31/2020,20:00,102,NULL,NULL,790 MAGNOLIA ST NW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Vine City,L,-84.416906,33.758165
203661911,12/31/2020,12/31/2020,20:00,12/31/2020,21:43,602,NULL,NULL,1107 EUCLID AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Inman Park,N,-84.350751,33.763831
203641723,12/31/2020,12/29/2020,22:18,12/29/2020,22:30,304,NULL,NULL,795 POLLARD BLVD SW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Summerhill,V,-84.391286,33.732997
203651503,12/31/2020,12/30/2020,20:38,12/31/2020,0:06,207,NULL,NULL,1784 PEACHTREE RD NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Ardmore,E,-84.393503,33.803315
203651526,12/31/2020,12/30/2020,18:00,12/30/2020,18:52,212,NULL,NULL,195 OTTLEY DR NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,NULL,E,-84.381064,33.808012
203651547,12/31/2020,12/29/2020,18:55,12/30/2020,20:43,205,NULL,NULL,214 COLONIAL HOMES DR NW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23D,Colonial Homes,C,-84.395115,33.813134
203651559,12/31/2020,12/30/2020,20:00,12/30/2020,20:30,206,NULL,NULL,77 WEST PACES FERRY RD NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,South Tuxedo Park,B,-84.381392,33.840896
203651572,12/31/2020,12/30/2020,6:05,12/30/2020,22:40,207,NULL,NULL,710 BERKELEY AVE NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Berkeley Park,D,-84.411344,33.797296
203651584,12/31/2020,12/30/2020,20:08,12/30/2020,21:45,602,NULL,NULL,753 EDGEWOOD AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Inman Park,N,-84.362744,33.754679
203651601,12/30/2020,12/30/2020,15:00,12/30/2020,22:00,604,NULL,NULL,684 JOHN WESLEY DOBBS AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Old Fourth Ward,M,-84.364474,33.759758
203651580,12/30/2020,12/30/2020,20:00,12/30/2020,21:49,503,NULL,NULL,1038 W PEACHTREE ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Midtown,E,-84.388146,33.783043
203651548,12/30/2020,12/30/2020,21:00,12/30/2020,22:00,103,NULL,NULL,1133 HUFF RD NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Blandtown,D,-84.424898,33.789818
203651544,12/30/2020,12/30/2020,18:30,12/30/2020,21:00,608,NULL,NULL,1603 CLIFTON TERRACE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Candler Park,N,-84.334854,33.771238
203651505,12/30/2020,12/30/2020,20:39,12/30/2020,21:22,110,NULL,NULL,1694 ABNER CT NW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Carver Hills,G,-84.466261,33.801746
203651519,12/30/2020,12/30/2020,20:05,12/30/2020,20:06,509,NULL,NULL,265 PEACHTREE ST NE,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Downtown,M,-84.387356,33.761375
203641742,12/30/2020,12/29/2020,19:45,12/29/2020,22:45,508,NULL,NULL,393 MARIETTA ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Downtown,M,-84.397029,33.763652
203641651,12/30/2020,12/29/2020,20:00,12/29/2020,21:00,109,NULL,NULL,DONALD LEE HOLLOWELL PKWY NW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Center Hill,J,-84.459877,33.776851
203641714,12/30/2020,12/29/2020,20:43,12/30/2020,21:19,602,NULL,NULL,753 EDGEWOOD AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Inman Park,N,-84.362744,33.754679
203641718,12/30/2020,12/29/2020,14:00,12/29/2020,22:13,505,NULL,NULL,880 W PEACHTREE ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Midtown,E,-84.387633,33.778909
203641745,12/30/2020,12/29/2020,22:40,12/30/2020,3:08,602,NULL,NULL,1126 EUCLID AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Inman Park,N,-84.350487,33.76458
203641749,12/30/2020,12/29/2020,20:00,12/29/2020,21:50,208,NULL,NULL,3279 ROSWELL RD NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Buckhead Forest,B,-84.379515,33.844662
203641750,12/30/2020,12/29/2020,21:20,12/29/2020,23:15,602,NULL,NULL,245 NORTH HIGHLAND AVENUE NORTHEAST,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Inman Park,N,-84.35975,33.761674
203641764,12/30/2020,12/29/2020,19:15,12/29/2020,22:45,509,NULL,NULL,510 PIEDMONT AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Downtown,M,-84.382193,33.768461
203641783,12/30/2020,12/29/2020,21:30,12/30/2020,23:00,602,NULL,NULL,939 PONCE DE LEON AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Poncey-Highland,N,-84.356628,33.773539
203641316,12/30/2020,12/25/2020,0:00,12/26/2020,0:00,403,NULL,NULL,1411 BYRERE TERRACE SW,NULL,NULL,NULL,NULL,BURGLARY,220,Venetian Hills,S,-84.431752,33.716441
203641324,12/30/2020,12/29/2020,17:00,12/29/2020,17:30,305,NULL,NULL,178 MOURY AVE SE,NULL,NULL,NULL,NULL,AUTO THEFT,240,The Villages at Carver,Y,-84.391204,33.712797
203641516,12/30/2020,10/8/2020,0:00,10/9/2020,0:00,206,NULL,NULL,3161 MAPLE DR NE,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Buckhead Village,B,-84.371845,33.841614
203641788,12/30/2020,12/29/2020,23:15,12/29/2020,23:19,308,NULL,NULL,640 NEW TOWN CIR SE,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Thomasville Heights,Z,-84.361876,33.708646
203641790,12/30/2020,12/29/2020,22:00,12/29/2020,23:20,503,NULL,NULL,80 PEACHTREE PL NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Midtown,E,-84.385067,33.780946
203641793,12/30/2020,12/29/2020,22:30,12/29/2020,23:06,209,NULL,NULL,4475 ROSWELL RD NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,North Buckhead,B,-84.379462,33.877273
203641797,12/30/2020,12/29/2020,23:18,12/29/2020,23:20,307,NULL,NULL,1683 JONESBORO RD SE,NULL,NULL,NULL,NULL,AUTO THEFT,240,Lakewood Heights,Y,-84.379625,33.70621
203641803,12/30/2020,12/29/2020,20:30,12/29/2020,23:30,602,NULL,NULL,44 KROG ST NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Inman Park,N,-84.364492,33.75485
203641829,12/30/2020,12/29/2020,20:00,12/29/2020,23:30,505,NULL,NULL,265 PONCE DE LEON AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Midtown,E,-84.378393,33.771684
203641831,12/30/2020,12/29/2020,23:43,12/30/2020,3:30,602,NULL,NULL,699 PONCE DE LEON AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Poncey-Highland,N,-84.364042,33.772912
203650016,12/30/2020,12/29/2020,19:00,12/29/2020,22:30,211,NULL,NULL,2285 PEACHTREE RD,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,NULL,E,-84.389511,33.816463
203650017,12/30/2020,12/30/2020,0:10,12/30/2020,4:57,608,NULL,NULL,438 MORELAND AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Candler Park,N,-84.347768,33.767546
203650033,12/30/2020,12/30/2020,0:21,12/30/2020,6:55,602,NULL,NULL,422 SEMINOLE AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Inman Park,N,-84.349491,33.76572
203650062,12/30/2020,12/29/2020,22:00,12/29/2020,23:00,309,NULL,NULL,2685 BEELER DR SW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Perkerson,X,-84.401672,33.681619
203650069,12/30/2020,12/29/2020,22:00,12/30/2020,0:10,601,NULL,NULL,1039 GREENWOOD AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Virginia Highland,F,-84.35324,33.776494
203650082,12/30/2020,12/30/2020,0:00,12/30/2020,4:43,602,NULL,NULL,699 PONCE DE LEON AVE NE,NULL,NULL,NULL,NULL,AUTO THEFT,240,Poncey-Highland,N,-84.364042,33.772912
203650112,12/30/2020,12/29/2020,20:30,12/30/2020,0:00,207,NULL,NULL,2143 PEACHTREE RD,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,NULL,E,-84.391538,33.812773
203650122,12/30/2020,12/30/2020,1:30,12/30/2020,1:36,509,NULL,NULL,250 PIEDMONT AVE NE,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Downtown,M,-84.382419,33.761575
203650123,12/30/2020,12/29/2020,20:00,12/30/2020,1:30,614,NULL,NULL,650 PONCE DE LEON AVE NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Midtown,E,-84.366409,33.776875
203650133,12/30/2020,12/29/2020,21:30,12/30/2020,2:17,508,NULL,NULL,123 MARIETTA ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Downtown,M,-84.392563,33.757297
203650149,12/30/2020,12/30/2020,2:00,12/30/2020,4:00,509,NULL,NULL,255 COURTLAND ST NE,NULL,NULL,NULL,NULL,ROBBERY,120,Downtown,M,-84.383562,33.761546
203650158,12/30/2020,12/29/2020,19:00,12/30/2020,2:00,205,NULL,NULL,222 S COLONIAL HOMES CIR NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Colonial Homes,C,-84.395908,33.812739
203650198,12/30/2020,12/30/2020,3:02,12/30/2020,5:15,603,NULL,NULL,620 PARKWAY DR NE,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Old Fourth Ward,M,-84.373077,33.771352
203650237,12/30/2020,12/30/2020,3:56,12/30/2020,4:00,604,NULL,NULL,444 HIGHLAND AVE NE,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Old Fourth Ward,M,-84.372482,33.762168
203650272,12/30/2020,12/30/2020,5:15,12/30/2020,6:22,114,NULL,NULL,3804 M.L.K. JR DR SW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Old Gordon,H,-84.514682,33.767994
203650340,12/30/2020,12/30/2020,1:25,12/30/2020,1:29,607,NULL,NULL,1395 MORELAND AVE SE,NULL,NULL,NULL,NULL,BURGLARY,220,Custer/McDonough/Guice,W,-84.349974,33.716406
203650368,12/30/2020,12/29/2020,18:00,12/30/2020,9:35,410,NULL,NULL,1871 PLAZA LN SW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Campbellton Road,R,-84.45325,33.703874
203650382,12/30/2020,12/29/2020,15:00,12/30/2020,7:00,610,NULL,NULL,1929 HOSEA L WILLIAMS DR NE,NULL,NULL,NULL,NULL,AUTO THEFT,240,Kirkwood,O,-84.324872,33.752014
203650445,12/30/2020,12/29/2020,18:00,12/30/2020,7:00,611,NULL,NULL,2684 ARBOR AVE SE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,East Lake,O,-84.299032,33.75047
203650459,12/30/2020,12/30/2020,1:30,12/30/2020,9:00,607,NULL,NULL,1084 EDIE AVE SE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Boulevard Heights,W,-84.363467,33.724791
203650499,12/30/2020,12/29/2020,21:00,12/30/2020,11:44,211,NULL,NULL,741 MOROSGO DR NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Lindbergh/Morosgo,B,-84.364391,33.822471
203650500,12/30/2020,12/30/2020,1:00,12/30/2020,9:30,608,NULL,NULL,448 RIDGEWOOD RD NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Lake Claire,N,-84.32867,33.766408
203650516,12/30/2020,12/29/2020,11:30,12/30/2020,10:00,509,NULL,NULL,227 COURTLAND ST NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Downtown,M,-84.383568,33.760757
203650542,12/30/2020,12/30/2020,10:00,12/30/2020,10:30,209,NULL,NULL,3756 ROSWELL RD NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,East Chastain Park,B,-84.382911,33.857787
203650558,12/30/2020,12/19/2020,14:00,12/20/2020,0:30,105,NULL,NULL,51 OLLIE ST NW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Washington Park,K,-84.421062,33.756211
203650580,12/30/2020,12/29/2020,22:00,12/30/2020,11:08,507,NULL,NULL,110 MARIETTA ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Downtown,M,-84.39299,33.756987
203650605,12/30/2020,12/30/2020,1:39,NULL,NULL,508,NULL,NULL,300 TED TURNER DR NW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Downtown,M,-84.389613,33.762632
203650640,12/30/2020,12/30/2020,11:50,12/30/2020,11:57,106,NULL,NULL,1350 MAYSON TURNER RD NW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Bankhead,K,-84.431749,33.765365
203650646,12/30/2020,12/30/2020,12:05,12/30/2020,12:10,606,NULL,NULL,144 MORELAND AVE NE,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Reynoldstown,N,-84.349945,33.757224
203650798,12/30/2020,12/30/2020,13:30,12/30/2020,13:30,108,NULL,NULL,2429 M.L.K. JR DR SW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23C,Florida Heights,I,-84.466815,33.752373
203650801,12/30/2020,12/29/2020,17:46,12/30/2020,15:10,606,NULL,NULL,390 STOVALL ST SE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Ormewood Park,W,-84.353219,33.744016
203650818,12/30/2020,12/8/2020,0:00,12/30/2020,13:59,307,NULL,NULL,1897 JONESBORO RD SE,NULL,NULL,NULL,NULL,AUTO THEFT,240,Lakewood Heights,Y,-84.376424,33.70281
203650826,12/30/2020,12/30/2020,13:15,12/20/2020,13:39,602,NULL,NULL,826 DIXIE AVE NE,NULL,NULL,NULL,NULL,AUTO THEFT,240,Inman Park,N,-84.360654,33.757017
203650832,12/30/2020,12/22/2020,12:00,12/29/2020,0:00,602,NULL,NULL,675 NORTH HIGHLAND AVENUE NORTHEAST,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Poncey-Highland,N,-84.351822,33.772754
203650844,12/30/2020,12/20/2020,8:00,12/22/2020,12:00,206,NULL,NULL,3060 PHARR CT N NORTHWEST,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23D,Peachtree Heights West,B,-84.3848,33.838661
203650849,12/30/2020,12/29/2020,23:45,12/30/2020,13:00,305,NULL,NULL,1469 JONESBORO RD SE,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23D,South Atlanta,Y,-84.383219,33.714372
203650858,12/30/2020,12/30/2020,14:15,12/30/2020,14:21,310,NULL,NULL,2332 MACON DR SW,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Swallow Circle/Baywood,Z,-84.39065,33.690852
203650859,12/30/2020,12/30/2020,14:21,12/30/2020,14:44,302,NULL,NULL,180 UNIVERSITY AVE SW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Pittsburgh,V,-84.393749,33.721619
203650861,12/30/2020,12/30/2020,1:30,12/30/2020,14:20,503,NULL,NULL,950 W PEACHTREE ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Midtown,E,-84.388669,33.77971
203650893,12/30/2020,12/22/2020,20:30,12/27/2020,16:30,607,NULL,NULL,868 TRESTLETREE CT SE,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23H,Ormewood Park,W,-84.362014,33.728638
203650931,12/30/2020,12/30/2020,14:40,12/30/2020,14:55,501,NULL,NULL,691 14TH ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Home Park,E,-84.410783,33.786222
203650932,12/30/2020,12/30/2020,15:00,12/30/2020,15:00,506,NULL,NULL,800 WEST MARIETTA ST NW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,English Avenue,L,-84.412613,33.778925
203650935,12/30/2020,12/30/2020,15:07,NULL,NULL,409,NULL,NULL,1717 CENTRA VILLA DR SW,NULL,NULL,NULL,NULL,AGG ASSAULT,13A,Adams Park,R,-84.45606,33.707943
203650977,12/30/2020,12/30/2020,14:30,12/30/2020,15:20,206,NULL,NULL,2255 PEACHTREE RD NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Buckhead Village,B,-84.379667,33.839546
203650990,12/30/2020,12/30/2020,14:30,12/30/2020,14:30,503,NULL,NULL,1110 W PEACHTREE ST NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Midtown,E,-84.388269,33.78505
203651023,12/30/2020,12/30/2020,7:30,12/30/2020,15:00,509,NULL,NULL,265 PEACHTREE ST NE,NULL,NULL,NULL,NULL,LARCENY-NON VEHICLE,23D,Downtown,M,-84.387356,33.761375
203651048,12/30/2020,12/30/2020,0:00,NULL,NULL,505,NULL,NULL,5TH ST NE & PEACHTREE ST NE,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Midtown,E,-84.384531,33.776155
203651052,12/30/2020,12/30/2020,16:00,12/30/2020,16:11,407,NULL,NULL,360 WOODSTOCK DR SW,NULL,NULL,NULL,NULL,ROBBERY,120,Baker Hills,H,-84.514538,33.760786
203651053,12/30/2020,12/30/2020,14:57,12/30/2020,15:00,202,NULL,NULL,331 COCHRAN DR NW,NULL,NULL,NULL,NULL,LARCENY-FROM VEHICLE,23F,Chastain Park,A,-84.398244,33.877541
203651080,12/30/2020,12/30/2020,16:15,12/30/2020,16:25,502,NULL,NULL,1184 SPRING ST NW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Midtown,E,-84.389605,33.787056
203651106,12/30/2020,12/30/2020,2:00,12/30/2020,11:35,106,NULL,NULL,1105 CARR ST NW,NULL,NULL,NULL,NULL,AUTO THEFT,240,Knight Park/Howell Station,K,-84.425862,33.785229
