offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apartment_office_prefix,apartment_number,location,watch,location_type,UC2_Literal,UCR_Number,neighborhood,npu,lat,long
201191443,4/30/2020,4/28/2020,18:17,4/28/2020,18:25,610,NA,NA,145 MURRAY HILL AVE NE,Evening Watch,NA,HOMICIDE,110,Kirkwood,O,33.7565,-84.31554
201200928,4/29/2020,4/29/2020,12:48,4/29/2020,12:48,211,NA,NA,2415 CAMELLIA LN NE,Day Watch,13,HOMICIDE,110,Lindbergh/Morosgo,B,33.82173,-84.37102
201201963,4/29/2020,4/29/2020,23:40,4/29/2020,23:44,303,NA,NA,565 WELLS ST SW,Morning Watch,18,HOMICIDE,110,Mechanicsville,V,33.74005,-84.40649
201241777,5/4/2020,5/3/2020,21:57,5/3/2020,21:59,405,NA,NA,2852 EMERALD CT SW,Evening Watch,NA,HOMICIDE,110,Harland Terrace,I,33.75134,-84.48196
201250898,5/4/2020,5/4/2020,12:53,5/4/2020,13:04,412,APT,504,2125 SOUTHWOOD CV SW,NA,26,HOMICIDE,110,Ben Hill Terrace,P,33.69653,-84.51827
201360862,5/15/2020,5/15/2020,10:55,5/15/2020,12:00,303,NA,NA,330 PRYOR ST SW,Day Watch,NA,HOMICIDE,110,Mechanicsville,V,33.74523,-84.39435
201370296,5/16/2020,5/16/2020,2:20,5/16/2020,2:30,208,NA,NA,3645 HABERSHAM RD NE,Morning Watch,13,HOMICIDE,110,Buckhead Forest,B,33.8532,-84.38252
201431803,5/22/2020,5/22/2020,20:25,5/22/2020,20:30,407,NA,NA,3 FAIRBURN RD SW,Evening Watch,17,HOMICIDE,110,Adamsville,H,33.75929,-84.50557
201461976,5/26/2020,5/25/2020,23:16,5/25/2020,23:16,107,NA,NA,2096 ARLINGTON CIR NW,Morning Watch,NA,HOMICIDE,110,Grove Park,J,33.7709,-84.45624
201510223,5/30/2020,5/29/2020,23:00,5/30/2020,0:41,509,APT,1801,215 PIEDMONT AVE NE,Morning Watch,NA,HOMICIDE,110,Downtown,M,33.76029,-84.38207
201521420,6/1/2020,5/31/2020,22:10,5/31/2020,22:10,211,NA,NA,2382 PEACHTREE RD NE ,Morning Watch,NA,HOMICIDE,110,Peachtree Heights West,B,33.82139,-84.38797
201530847,6/1/2020,5/31/2020,22:00,6/1/2020,13:36,604,NA,NA,163 BAKER HIGHLAND CONN NE,Day Watch,99,HOMICIDE,110,Old Fourth Ward,M,33.76209,-84.38083
201541087,6/2/2020,6/2/2020,17:10,6/2/2020,17:15,403,NA,NA,1191 ARLINGTON AVE SW,NA,20,HOMICIDE,110,Oakland City,S,33.72564,-84.42642
201561515,6/5/2020,6/4/2020,23:50,6/4/2020,23:53,403,NA,NA,1216 LORENZO DR SW,Morning Watch,NA,HOMICIDE,110,Venetian Hills,S,33.72186,-84.43221
201580150,6/6/2020,6/6/2020,2:03,6/6/2020,2:04,412,BLDG,M,3909 CAMPBELLTON RD SW,Morning Watch,26,HOMICIDE,110,Kings Forest,P,33.6924,-84.51637
201621457,6/11/2020,6/10/2020,20:00,6/10/2020,23:59,402,NA,NA,978 PEEPLES ST SW,Morning Watch,NA,HOMICIDE,110,Oakland City,S,33.72831,-84.42152
201640548,6/12/2020,6/11/2020,17:25,6/12/2020,9:40,507,NA,NA,320 WHITEHALL ST SW,Day Watch,NA,HOMICIDE,110,Castleberry Hill,M,33.74594,-84.39861
201651163,6/13/2020,6/13/2020,17:00,6/13/2020,17:40,609,NA,NA,69 MAYSON AVE,Evening Watch,NA,HOMICIDE,110,Edgewood,O,33.75577,-84.33891
201670440,6/15/2020,6/15/2020,8:45,6/15/2020,9:06,303,NA,NA,400 PRYOR ST SW,Day Watch,NA,HOMICIDE,110,Mechanicsville,V,33.74365,-84.39437
201690968,6/18/2020,6/17/2020,19:00,6/17/2020,19:08,411,APT,T8,3200 STONE RD SW,Evening Watch,18,HOMICIDE,110,Greenbriar,R,33.6697,-84.49403
201701073,6/18/2020,6/18/2020,21:40,6/18/2020,21:48,402,NA,NA,1117 LEE ST SW,Evening Watch,7,HOMICIDE,110,Oakland City,S,33.72459,-84.42107
201770057,6/25/2020,6/25/2020,1:00,6/25/2020,1:00,403,NA,NA,1129 GRAYMONT DR SW,Morning Watch,NA,HOMICIDE,110,Oakland City,S,33.72441,-84.43674
201780216,6/26/2020,6/25/2020,21:50,6/26/2020,3:50,310,NA,NA,2402 MEADOW PARK DR SW,Morning Watch,20,HOMICIDE,110,Browns Mill Park,Z,33.68902,-84.39194
201781578,6/27/2020,6/26/2020,23:56,6/26/2020,23:56,510,NA,NA,180 AUBURN AVE NE,Morning Watch,13,HOMICIDE,110,Downtown,M,33.75571,-84.38177
201790792,6/27/2020,6/27/2020,14:00,6/27/2020,14:30,505,NA,NA,95 8TH ST NE,Day Watch,13,HOMICIDE,110,Midtown,E,33.77943,-84.38397
201801432,6/29/2020,6/28/2020,22:02,6/28/2020,22:03,302,NA,NA,833 SMITH ST SW,Evening Watch,NA,HOMICIDE,110,Pittsburgh,V,33.73224,-84.40108
201801479,6/28/2020,6/28/2020,22:30,6/28/2020,22:32,603,NA,NA,830 WILLOUGHBY WAY NE @HISTORIC 4TH WARD PK,Evening Watch,31,HOMICIDE,110,Old Fourth Ward,M,33.76585,-84.35999
201820072,6/30/2020,6/30/2020,1:07,6/30/2020,1:09,603,NA,NA,639 PARKWAY DR NE,Morning Watch,26,HOMICIDE,110,Old Fourth Ward,M,33.77203,-84.37252
201861454,7/5/2020,7/4/2020,20:00,7/4/2020,22:00,304,NA,NA,1238 PRYOR RD SW,Evening Watch,NA,HOMICIDE,110,Peoplestown,V,33.72139,-84.39284
201861710,7/4/2020,7/4/2020,23:45,7/4/2020,23:54,307,NA,NA,1657 LAKEWOOD AVE SE,Morning Watch,3,HOMICIDE,110,Lakewood Heights,Y,33.70898,-84.38036
201870235,7/5/2020,7/5/2020,2:00,7/5/2020,2:03,510,NA,NA,210 AUBURN AVE NE @BETHEL TOWER APTS,Morning Watch,13,HOMICIDE,110,Downtown,M,33.75563,-84.38092
201870926,7/5/2020,7/5/2020,14:30,7/5/2020,15:30,113,NA,NA,2535 CENTER ST NW,Evening Watch,7,HOMICIDE,110,Carey Park,G,33.79029,-84.4712
201871212,7/6/2020,7/5/2020,19:30,7/5/2020,19:40,304,NA,NA,1192 PRYOR RD SW,Evening Watch,NA,HOMICIDE,110,Peoplestown,V,33.72287,-84.3928
201880030,7/8/2020,7/6/2020,0:20,7/6/2020,0:30,110,NA,120,2479 ABNER TERR,Morning Watch,26,HOMICIDE,110,Scotts Crossing,G,33.80106,-84.46803
201880225,7/6/2020,7/6/2020,4:15,7/6/2020,4:20,505,NA,B-1,705 PIEDMONT AVE NE,Morning Watch,20,HOMICIDE,110,Midtown,E,33.77385,-84.38154
201930430,7/11/2020,7/11/2020,7:21,7/11/2020,7:21,607,NA,NA,650 HAMILTON AVE SE,Day Watch,10,HOMICIDE,110,Boulevard Heights,W,33.72622,-84.3667
201931599,7/11/2020,7/11/2020,23:00,7/11/2020,23:08,407,NA,NA,I-285 SB EXPY SW / BENJAMIN E MAYS DR SW,Morning Watch,13,HOMICIDE,110,NA,H,33.738,-84.50089
201951533,7/14/2020,7/13/2020,23:10,7/13/2020,23:18,402,NA,NA,1245 DONNELLY AVE SW,Morning Watch,13,HOMICIDE,110,West End,T,33.73417,-84.42751
201951557,7/14/2020,7/13/2020,11:30,7/14/2020,12:15,114,NA,NA,449 BOLTON RD NW,Morning Watch,NA,HOMICIDE,110,Fairburn Heights,H,33.76661,-84.50889
201970038,7/15/2020,7/15/2020,0:28,7/15/2020,0:30,506,NA,NA,690 CAMERON M ALEXANDER BLVD NW,Morning Watch,20,HOMICIDE,110,English Avenue,L,33.76794,-84.41015
201970396,7/15/2020,7/15/2020,9:20,7/15/2020,9:27,508,NA,NA,113 PEACHTREE ST,Day Watch,NA,HOMICIDE,110,Downtown,M,33.75659,-84.38802
201970445,7/15/2020,7/15/2020,10:21,7/15/2020,10:21,109,NA,NA,2650 DONALD LEE HOLLOWELL PKWY NW,Day Watch,NA,HOMICIDE,110,Center Hill,J,33.77582,-84.47342
201990018,7/17/2020,7/17/2020,0:01,7/17/2020,0:10,506,NA,NA,475 GRIFFIN ST NW,Morning Watch,20,HOMICIDE,110,English Avenue,L,33.76761,-84.41095
201991780,7/18/2020,7/17/2020,22:27,7/17/2020,22:27,110,NA,NA,2156 ABNER PL NW,Morning Watch,NA,HOMICIDE,110,Carver Hills,G,33.80106,-84.45868
202040116,7/22/2020,7/22/2020,2:00,7/22/2020,3:00,109,NA,NA,2608 DONALD LEE HOLLOWELL PKWY NW,NA,NA,HOMICIDE,110,Center Hill,J,33.77555,-84.47281
202040871,7/22/2020,7/22/2020,16:24,7/22/2020,16:27,412,NA,NA,1381 KIMBERLY WAY SW,Evening Watch,NA,HOMICIDE,110,Ashley Courts,P,33.71745,-84.52265
202060145,7/24/2020,7/24/2020,2:00,7/24/2020,2:30,102,NA,NA,151 SUNSET AVE NW,Morning Watch,NA,HOMICIDE,110,Vine City,L,33.75874,-84.40976
202061694,7/25/2020,7/23/2020,17:20,7/23/2020,17:40,508,APT,11-I,300 W PEACHTREE ST NW,Evening Watch,20,HOMICIDE,110,Downtown,M,33.76269,-84.38765
202091233,7/27/2020,7/27/2020,18:52,7/27/2020,18:52,105,NA,NA,94 CHAPPELL RD NW,NA,13,HOMICIDE,110,Hunter Hills,K,33.75731,-84.43385
202151377,8/2/2020,8/2/2020,20:00,8/2/2020,21:00,511,NA,NA,91 PEACHTREE ST SW,Evening Watch,31,HOMICIDE,110,Downtown,M,33.75235,-84.39204
202161401,8/3/2020,8/2/2020,16:00,8/3/2020,17:00,101,NA,NA,812 SW PARSON ST SW,Evening Watch,20,HOMICIDE,110,Atlanta University Center,T,33.75071,-84.41416
202200314,8/7/2020,8/7/2020,5:41,8/7/2020,5:45,401,NA,NA,1082 LUCILE AVE SW,Morning Watch,31,HOMICIDE,110,West End,T,33.74213,-84.42329
202211039,8/8/2020,8/8/2020,15:00,8/8/2020,15:15,402,NA,NA,1014 OAKLAND DR SW,Evening Watch,26,HOMICIDE,110,Oakland City,S,33.72725,-84.42657
202220039,8/9/2020,8/9/2020,0:00,8/9/2020,12:45,401,NA,NA,835 OGLETHORPE AVE SW,Morning Watch,NA,HOMICIDE,110,West End,T,33.73592,-84.41564
202221162,8/9/2020,8/9/2020,17:08,8/9/2020,17:09,507,NA,NA,201 PETERS ST SW,Evening Watch,13,HOMICIDE,110,Castleberry Hill,M,33.74915,-84.40015
202230043,8/10/2020,8/10/2020,0:00,8/10/2020,1:30,105,NA,NA,1456 NORRIS PL NW,Morning Watch,20,HOMICIDE,110,Hunter Hills,K,33.75912,-84.43521
202240788,8/11/2020,8/11/2020,12:00,8/11/2020,12:13,607,NA,NA,1051 VILLA CT SE,Day Watch,NA,HOMICIDE,110,Boulevard Heights,W,33.72596,-84.35863
202250776,8/12/2020,8/12/2020,12:35,8/12/2020,12:43,506,NA,NA,449 OLIVER ST NW,Day Watch,NA,HOMICIDE,110,English Avenue,L,33.767,-84.41532
202251341,8/13/2020,8/12/2020,17:35,8/12/2020,17:35,604,NA,NA,55 HILLIARD ST SE,Evening Watch,NA,HOMICIDE,110,Sweet Auburn,M,33.75286,-84.37718
202251806,8/13/2020,8/12/2020,22:21,8/12/2020,22:23,307,NA,NA,1675 OAK KNOLL CIR SE,Evening Watch,NA,HOMICIDE,110,Lakewood Heights,Y,33.7102,-84.37776
202270018,8/14/2020,8/13/2020,9:00,8/13/2020,23:59,108,NA,NA,2129 MARTIN LUNTER KING JR DR,Morning Watch,26,HOMICIDE,110,Florida Heights,I,33.7512,-84.45836
202280171,8/15/2020,8/15/2020,1:16,8/15/2020,1:17,507,NA,NA,495 WHITEHALL ST SW,Morning Watch,3,HOMICIDE,110,Castleberry Hill,M,33.74405,-84.40386
202280406,8/15/2020,8/15/2020,3:15,8/15/2020,3:30,302,NA,NA,554 ROCKWELL ST SW,Morning Watch,NA,HOMICIDE,110,Pittsburgh,V,33.73175,-84.40585
202291775,8/16/2020,8/16/2020,23:40,8/16/2020,23:50,307,NA,NA,1640 LAKEWOOD AVE SE,Morning Watch,13,HOMICIDE,110,Lakewood Heights,Y,33.7095,-84.37963
202341528,8/21/2020,8/21/2020,18:46,8/21/2020,18:46,407,NA,NA,345 TARRAGON WAY SW,Evening Watch,NA,HOMICIDE,110,Wilson Mill Meadows,H,33.75324,-84.5164
202360973,8/23/2020,8/23/2020,14:10,8/23/2020,14:11,311,NA,NA,532 CLEVELAND AVE SW,Day Watch,10,HOMICIDE,110,Hammond Park,X,33.67941,-84.40569
202371744,8/24/2020,8/24/2020,22:20,8/24/2020,22:27,310,NA,NA,221 CLEVELAND AVE SW,Morning Watch,23,HOMICIDE,110,Browns Mill Park,Z,33.68143,-84.39669
202391089,8/26/2020,8/26/2020,15:58,8/26/2020,16:30,404,NA,NA,1933 SHIRLEY ST SW,Evening Watch,20,HOMICIDE,110,Cascade Avenue/Road,S,33.73269,-84.4509
202420467,8/29/2020,8/29/2020,6:20,8/29/2020,6:24,510,NA,NA,210 AUBURN AVE NE,Morning Watch,13,HOMICIDE,110,Downtown,M,33.75554,-84.38025
202540916,9/10/2020,9/10/2020,13:05,9/10/2020,13:39,312,NA,NA,70 MACON PL SE,Day Watch,20,HOMICIDE,110,Glenrose Heights,Z,33.67556,-84.38653
202591676,9/15/2020,9/15/2020,21:00,9/15/2020,21:16,311,NA,NA,532 CLEVELAND AVE SW,NA,NA,HOMICIDE,110,Hammond Park,X,33.6786,-84.40567
202621463,9/18/2020,9/18/2020,17:50,9/18/2020,18:10,308,NA,NA,350 THOMASVILLE BLVD SE,Evening Watch,NA,HOMICIDE,110,Thomasville Heights,Z,33.70509,-84.35714
202700725,9/26/2020,9/26/2020,9:26,9/26/2020,9:27,512,NA,NA,215 FORSYTH ST SW,Day Watch,NA,HOMICIDE,110,Downtown,M,33.74892,-84.3968
202721557,9/28/2020,9/28/2020,18:44,9/28/2020,18:54,512,NA,NA,227 PEACHTREE ST SW,Evening Watch,18,HOMICIDE,110,Downtown,M,33.74835,-84.39519
200770412,3/20/2020,3/17/2020,7:56,3/17/2020,8:30,502,NA,NA,1284 PIEDMONT RD NE,Day Watch,13,MANSLAUGHTER,120,Ansley Park,E,33.79003,-84.37565
200811914,3/21/2020,3/21/2020,20:30,3/21/2020,21:00,113,NA,NA,2720 ARGYLE DR NW,Evening Watch,NA,MANSLAUGHTER,120,Lincoln Homes,G,33.79933,-84.47706
193641957,1/9/2020,12/30/2019,11:00,12/30/2019,11:00,405,NA,NA,2500 MARTIN L. KING JR DR SW,Day Watch,99,ROBBERY,311,Harland Terrace,I,33.75237,-84.46958
200010590,1/1/2020,1/1/2020,3:32,1/1/2020,3:48,612,NA,NA,886 BOULDERCREST DR SE,Morning Watch,18,ROBBERY,311,East Atlanta,W,33.73035,-84.33561
200011603,1/1/2020,1/1/2020,18:00,1/1/2020,18:09,411,NA,NA,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,Evening Watch,18,ROBBERY,311,Greenbriar,R,33.68845,-84.49328
200030188,1/3/2020,1/3/2020,1:57,1/3/2020,1:57,410,NA,NA,2280  CAMPBELLTON ROAD,Morning Watch,13,ROBBERY,311,Campbellton Road,R,33.70413,-84.46269
200041063,1/4/2020,1/4/2020,12:35,1/4/2020,12:40,210,NA,NA,855 E PACES FERRY RD NE,Day Watch,32,ROBBERY,311,Lenox,B,33.84669,-84.35618
200042468,1/4/2020,1/4/2020,23:52,1/4/2020,23:56,503,NA,NA,1080 PEACHTREE ST NE,Morning Watch,13,ROBBERY,311,Midtown,E,33.78409,-84.38353
200050580,1/5/2020,1/5/2020,7:50,1/5/2020,7:55,404,NA,NA,1732 WESTHAVEN DR SW,Day Watch,13,ROBBERY,311,Cascade Avenue/Road,S,33.73235,-84.44454
200062118,1/6/2020,1/6/2020,23:00,1/6/2020,23:30,211,NA,NA,565 BROADVIEW PL NE,Morning Watch,13,ROBBERY,311,Lindbergh/Morosgo,B,33.82176,-84.36492
200071357,1/7/2020,1/7/2020,14:51,1/7/2020,14:51,402,NA,NA,1117 LEE ST SW,Evening Watch,23,ROBBERY,311,Oakland City,S,33.72459,-84.42107
200072380,1/7/2020,1/7/2020,23:50,1/7/2020,23:56,503,NA,NA,132 10TH ST NE,NA,NA,ROBBERY,311,Midtown,E,33.78222,-84.3829
200080135,1/8/2020,1/8/2020,1:33,1/8/2020,1:38,111,NA,NA,2595 MARTIN L KING JR DR NW,Morning Watch,23,ROBBERY,311,Harland Terrace,I,33.75383,-84.4725
200141220,1/14/2020,1/14/2020,14:45,1/14/2020,14:52,111,NA,NA,3221 MARTIN L KING JR DR NW,Evening Watch,,ROBBERY,311,NA,I,33.75284,-84.49256
200142288,1/14/2020,1/14/2020,23:16,1/14/2020,23:19,202,NA,NA,3521 NORTHSIDE DR NW,Morning Watch,20,ROBBERY,311,Tuxedo Park,A,33.85069,-84.40639
200150134,1/15/2020,1/15/2020,1:20,1/15/2020,1:22,505,NA,NA,855 PEACHTREE ST NE,Morning Watch,13,ROBBERY,311,Midtown,E,33.77798,-84.38389
200172092,1/17/2020,1/17/2020,18:33,1/17/2020,18:37,408,NA,NA,1829 CAMPBELLTON RD SW @VENETIAN HILLS APTS,Evening Watch,18,ROBBERY,311,Venetian Hills,S,33.71075,-84.44765
200182245,1/18/2020,1/18/2020,19:30,1/18/2020,22:56,308,NA,NA,2520 JONESBORO RD SE,Morning Watch,10,ROBBERY,311,Leila Valley,Z,33.68463,-84.36481
200191079,1/19/2020,1/19/2020,12:40,1/19/2020,13:09,301,NA,NA,726 LEXINGTON AVE SW,Day Watch,13,ROBBERY,311,Adair Park,V,33.72378,-84.41169
200200297,1/20/2020,1/20/2020,3:30,1/20/2020,3:45,410,NA,NA,2098 CAMPBELLTON RD SW,Morning Watch,,ROBBERY,311,Campbellton Road,R,33.70645,-84.45715
200241630,1/24/2020,1/24/2020,16:50,1/24/2020,16:56,601,NA,NA,609 VIRGINIA AVE NE @TROLLEY SQUARE,Evening Watch,13,ROBBERY,311,Virginia Highland,F,33.7813,-84.36584
200242073,1/24/2020,1/24/2020,19:38,1/24/2020,19:48,607,NA,NA,1131 GLENWOOD AVE SE,Evening Watch,NA,ROBBERY,311,Ormewood Park,W,33.74019,-84.35012
200242255,1/24/2020,1/24/2020,21:14,1/24/2020,21:16,501,NA,NA,384 14TH ST NW,Evening Watch,18,ROBBERY,311,Home Park,E,33.7861,-84.39993
200260574,1/26/2020,1/26/2020,5:15,1/26/2020,5:24,604,NA,NA,360 EDGEWOOD AVE NE,Morning Watch,13,ROBBERY,311,Sweet Auburn,M,33.75454,-84.37601
200261790,1/26/2020,1/26/2020,20:00,1/26/2020,20:15,313,NA,NA,3671 SOUTHSIDE INDUSTRIAL PKWY SE @FIRE STATION 34,Evening Watch,13,ROBBERY,311,Blair Villa/Poole Creek,Z,33.65449,-84.37443
200290037,1/29/2020,1/29/2020,0:20,1/29/2020,0:25,206,APT,2,16 PEACHTREE AVE NE,Morning Watch,NA,ROBBERY,311,Garden Hills,B,33.8349,-84.38164
200291959,1/29/2020,1/29/2020,15:45,1/29/2020,18:28,102,NA,1301,225 JAMES P BRAWLEY BLVD NW,Evening Watch,26,ROBBERY,311,Vine City,L,33.76073,-84.41253
200300459,1/30/2020,1/30/2020,5:30,1/30/2020,6:17,306,NA,NA,1150 ASTOR AVE SW,Day Watch,18,ROBBERY,311,Sylvan Hills,X,33.70137,-84.42678
200310074,1/31/2020,1/31/2020,0:20,1/31/2020,0:28,207,NA,NA,1370 HOWELL MILL RD NW @GENERAL REPAIR FACIL,Morning Watch,NA,ROBBERY,311,Berkeley Park,D,33.79035,-84.41181
200312331,1/31/2020,1/31/2020,21:10,1/31/2020,21:20,505,NA,1231,828 W PEACHTREE ST NE,Evening Watch,13,ROBBERY,311,Midtown,E,33.77773,-84.38718
200312510,1/31/2020,1/31/2020,22:50,1/31/2020,22:56,606,NA,NA,170 BOULEVARD SE @FULTON COTTON MILL,Morning Watch,13,ROBBERY,311,Cabbagetown,N,33.75064,-84.36992
200350227,2/4/2020,2/3/2020,22:30,2/3/2020,22:35,403,NA,NA,1371 KIMBERLY WAY SW,Morning Watch,18,ROBBERY,311,Ashley Courts,P,33.71775,-84.52379
200370549,2/6/2020,2/6/2020,8:15,2/6/2020,8:15,309,NA,NA,2685 METROPOLITAN PKWY SW,Day Watch,12,ROBBERY,311,Perkerson,X,33.68274,-84.40902
200391866,2/8/2020,2/8/2020,19:30,2/8/2020,19:40,512,NA,A,255 TRINITY AVE SW,Evening Watch,18,ROBBERY,311,Downtown,M,33.75048,-84.39599
200431128,2/12/2020,2/12/2020,11:45,2/12/2020,12:05,501,APT,B,1236 BARNES ST NW,Day Watch,20,ROBBERY,311,Home Park,E,33.78837,-84.39463
200452223,2/14/2020,2/14/2020,19:50,2/14/2020,19:50,507,NA,NA,131 WALKER ST SW,Evening Watch,18,ROBBERY,311,Castleberry Hill,M,33.75079,-84.40067
200462485,2/15/2020,2/15/2020,23:42,2/15/2020,23:48,609,NA,NA,1209 MEMORIAL DR SE,Morning Watch,26,ROBBERY,311,Edgewood,O,33.74724,-84.34803
200470077,2/16/2020,2/16/2020,0:20,2/16/2020,0:30,405,NA,NA,201 PEYTON PL SW,Morning Watch,26,ROBBERY,311,Harland Terrace,I,33.75132,-84.47677
200471695,2/16/2020,2/16/2020,21:15,2/16/2020,21:29,108,NA,B2,71 FAIRFIELD PL NW,Evening Watch,13,ROBBERY,311,Dixie Hills,J,33.75461,-84.46292
200520137,2/21/2020,2/21/2020,0:55,2/21/2020,1:15,107,NA,NA,1461 NORTH AVE NW,Morning Watch,4,ROBBERY,311,Grove Park,J,33.7682,-84.43536
200520197,2/21/2020,2/21/2020,1:35,2/21/2020,1:46,208,NA,NA,3380 PEACHTREE RD NE,Morning Watch,26,ROBBERY,311,North Buckhead,B,33.84969,-84.36617
200521271,2/21/2020,2/21/2020,13:50,2/21/2020,13:59,408,NA,NA,1465 CAHABA DR SW,Day Watch,13,ROBBERY,311,Venetian Hills,S,33.71545,-84.44969
200562129,2/25/2020,2/25/2020,18:30,2/25/2020,18:41,602,NA,NA,350 MORELAND AVE NE,Evening Watch,23,ROBBERY,311,Inman Park,N,33.76377,-84.3497
